"Report Date","Borough","Community District","Adult Family Comm Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Comm Hotel","FWC Cluster","FWC Comm Hotel","FWC Shelter"
"08/31/2024","Queens","407",,,"2",,,"1",
"08/31/2024","Queens","406",,,"1",,,,
"08/31/2024","Queens","405",,,"1",,,,"1"
"08/31/2024","Queens","404",,,,"1",,"1","1"
"08/31/2024","Queens","403",,"1",,"1",,"3","4"
"08/31/2024","Queens","402",,"1",,"3",,"4","1"
"08/31/2024","Queens","401",,,"1","2",,"19","2"
"08/31/2024","Manhattan","112",,,"2",,,,
"08/31/2024","Manhattan","111",,,"10",,,,"6"
"08/31/2024","Manhattan","110",,,"10",,,,"8"
"08/31/2024","Manhattan","108",,,"1",,,"1",
"08/31/2024","Manhattan","107",,"1","1",,,"4","2"
"08/31/2024","Manhattan","106",,,"2",,,"1","1"
"08/31/2024","Manhattan","105",,"1","1","1",,"7","2"
"08/31/2024","Manhattan","104",,,"2","2",,"5","2"
"08/31/2024","Manhattan","103",,,"6","2",,"1","2"
"08/31/2024","Manhattan","102",,,,,,"1",
"08/31/2024","Manhattan","101",,,,,,"1",
"08/31/2024","Brooklyn","318",,"1",,,,"2","2"
"08/31/2024","Brooklyn","317",,,,,,"2","4"
"08/31/2024","Brooklyn","316",,,"4","5",,"6","13"
"08/31/2024","Brooklyn","315",,,,,,"3","1"
"08/31/2024","Brooklyn","314",,,"2",,,"1","1"
"08/31/2024","Brooklyn","313",,,,"1",,,"1"
"08/31/2024","Brooklyn","312",,,"1",,,,"1"
"08/31/2024","Brooklyn","309",,,"2",,,,"1"
"08/31/2024","Brooklyn","308",,,"2","1",,"1","5"
"08/31/2024","Brooklyn","307",,,"3","5",,"2","1"
"08/31/2024","Brooklyn","306",,"1","3","2",,"2","1"
"08/31/2024","Brooklyn","305",,,"8","3",,"7","6"
"08/31/2024","Brooklyn","304",,,"1","2",,,"4"
"08/31/2024","Brooklyn","303",,,"4","2",,"2","5"
"08/31/2024","Brooklyn","302",,"1","6",,,,"1"
"08/31/2024","Brooklyn","301",,"1","6",,,"4",
"08/31/2024","Bronx","212",,,"3",,,"4","4"
"08/31/2024","Bronx","211",,,,,,,
"08/31/2024","Bronx","210",,,,,,,"3"
"08/31/2024","Bronx","209",,,"2",,,"2","7"
"08/31/2024","Bronx","208",,,,,,,"1"
"08/31/2024","Bronx","207",,,"5",,,"4","4"
"08/31/2024","Bronx","206",,,"2",,,"8","17"
"08/31/2024","Bronx","205",,"1","4",,,"1","8"
"08/31/2024","Bronx","204",,,"2",,,"2","13"
"08/31/2024","Bronx","203",,,"8","1",,,"7"
"08/31/2024","Bronx","202",,"1",,,,,"5"
"08/31/2024","Bronx","201",,,"4","2",,"1","8"
"07/31/2024","Bronx","201",,,"4","2",,"1","8"
"07/31/2024","Westchester",,,,,,,"1",
"07/31/2024","Staten Island","502",,,"1",,,"3",
"07/31/2024","Staten Island","501",,,"1","1",,"1","2"
"07/31/2024","Queens","414",,"1","1",,,"3","1"
"07/31/2024","Queens","413",,,"1","4",,"5","2"
"07/31/2024","Queens","412","1","2","3","2",,"24","7"
"07/31/2024","Queens","411",,,"1",,,"1",
"07/31/2024","Queens","410",,,"1","2",,"3",
"07/31/2024","Queens","409",,,"1",,,,
"07/31/2024","Queens","408",,,"1",,,"1","1"
"07/31/2024","Queens","407",,,"2",,,"1",
"07/31/2024","Queens","406",,,"1",,,,
"07/31/2024","Queens","405",,,"1",,,,"1"
"07/31/2024","Queens","404",,,,"1",,"1","1"
"07/31/2024","Queens","403",,"1",,"1",,"3","4"
"07/31/2024","Queens","402",,"1",,"3",,"4","1"
"07/31/2024","Queens","401",,,"1","2",,"19","2"
"07/31/2024","Manhattan","112",,,"2",,,,
"07/31/2024","Manhattan","111",,,"10",,,,"6"
"07/31/2024","Manhattan","110",,,"10",,,,"8"
"07/31/2024","Manhattan","109",,,"1",,,,"4"
"07/31/2024","Manhattan","108",,,"1",,,"1",
"07/31/2024","Manhattan","107",,"1","1",,,"4","2"
"07/31/2024","Manhattan","106",,,"2",,,"1","1"
"07/31/2024","Manhattan","105",,"1","1","1",,"7","2"
"07/31/2024","Manhattan","104",,,"2","2",,"5","2"
"07/31/2024","Manhattan","103",,,"6","2",,"1","2"
"07/31/2024","Manhattan","102",,,,,,"1",
"07/31/2024","Manhattan","101",,,,,,"1",
"07/31/2024","Brooklyn","318",,"1",,,,"2","2"
"07/31/2024","Brooklyn","317",,,,,,"2","4"
"07/31/2024","Brooklyn","316",,,"4","5",,"6","13"
"07/31/2024","Brooklyn","315",,,,,,"3","1"
"07/31/2024","Brooklyn","314",,,"2",,,"1","1"
"07/31/2024","Brooklyn","313",,,,"1",,,"1"
"07/31/2024","Brooklyn","312",,,"1",,,,"1"
"07/31/2024","Brooklyn","309",,,"2",,,,"1"
"07/31/2024","Brooklyn","308",,,"2","1",,"1","5"
"07/31/2024","Brooklyn","307",,,"3","5",,"2","1"
"07/31/2024","Brooklyn","306",,"1","3","2",,"2","1"
"07/31/2024","Brooklyn","305",,,"8","3",,"7","6"
"07/31/2024","Brooklyn","304",,,"1","2",,,"4"
"07/31/2024","Brooklyn","303",,,"4","2",,"2","5"
"07/31/2024","Brooklyn","302",,"1","6",,,,"1"
"07/31/2024","Brooklyn","301",,"1","6",,,"4",
"07/31/2024","Bronx","212",,,"3",,,"4","4"
"07/31/2024","Bronx","211",,,,,,,
"07/31/2024","Bronx","210",,,,,,,"3"
"07/31/2024","Bronx","209",,,"2",,,"2","7"
"07/31/2024","Bronx","208",,,,,,,"1"
"07/31/2024","Bronx","207",,,"5",,,"4","4"
"07/31/2024","Bronx","206",,,"2",,,"8","17"
"07/31/2024","Bronx","205",,"1","4",,,"1","8"
"07/31/2024","Bronx","204",,,"2",,,"2","13"
"07/31/2024","Bronx","203",,,"8","1",,,"7"
"07/31/2024","Bronx","202",,"1",,,,,"5"
"06/30/2024","Manhattan","102",,,,,,"1",
"06/30/2024","Westchester",,,,,,,"1",
"06/30/2024","Staten Island","502",,,,,,"3",
"06/30/2024","Staten Island","501",,,"1","1",,"1","2"
"06/30/2024","Queens","414",,"1","1",,,"3","1"
"06/30/2024","Queens","413",,,"1","4",,"5","2"
"06/30/2024","Queens","412","1","2","3","2",,"24","7"
"06/30/2024","Queens","411",,,"1",,,"1",
"06/30/2024","Queens","410",,,"1","2",,"3",
"06/30/2024","Queens","409",,,"1",,,,
"06/30/2024","Queens","408",,,"1",,,"1","1"
"06/30/2024","Queens","407",,,"2",,,"1",
"06/30/2024","Queens","406",,,"1",,,,
"06/30/2024","Queens","405",,,"1",,,,"1"
"06/30/2024","Queens","404",,,,"1",,"1","1"
"06/30/2024","Queens","403",,"1",,"1",,"3","4"
"06/30/2024","Queens","402",,"1",,"3",,"4","1"
"06/30/2024","Queens","401",,,"1","2",,"19","2"
"06/30/2024","Manhattan","112",,,"2",,,,
"06/30/2024","Manhattan","111",,,"10",,,,"6"
"06/30/2024","Manhattan","110",,,"10",,,,"8"
"06/30/2024","Manhattan","109",,,"1",,,,"4"
"06/30/2024","Manhattan","108",,,"1",,,"1",
"06/30/2024","Manhattan","107",,"1","1",,,"4","2"
"06/30/2024","Manhattan","106",,,"2",,,"1","1"
"06/30/2024","Manhattan","105",,"1","1","1",,"8","2"
"06/30/2024","Manhattan","104",,,"2","2",,"5","2"
"06/30/2024","Manhattan","103",,,"6","2",,"1","2"
"06/30/2024","Manhattan","101",,,,,,"1",
"06/30/2024","Brooklyn","318",,"1",,,,"2","2"
"06/30/2024","Brooklyn","317",,,,,,"2","4"
"06/30/2024","Brooklyn","316",,,"4","5",,"6","13"
"06/30/2024","Brooklyn","315",,,,,,"3","1"
"06/30/2024","Brooklyn","314",,,"2",,,"1","1"
"06/30/2024","Brooklyn","313",,,,"1",,,"1"
"06/30/2024","Brooklyn","312",,,"1",,,,"1"
"06/30/2024","Brooklyn","309",,,"2",,,,"1"
"06/30/2024","Brooklyn","308",,,"2","1",,"1","5"
"06/30/2024","Brooklyn","307",,,"3","5",,"2","1"
"06/30/2024","Brooklyn","306",,"1","3","2",,"2","1"
"06/30/2024","Brooklyn","305",,,"7","3",,"7","6"
"06/30/2024","Brooklyn","304",,,"1","2",,,"4"
"06/30/2024","Brooklyn","303",,,"4","2",,"2","5"
"06/30/2024","Brooklyn","302",,"1","6",,,,"1"
"06/30/2024","Brooklyn","301",,"1","6",,,"4",
"06/30/2024","Bronx","212",,,"3",,,"4","3"
"06/30/2024","Bronx","211",,,,,,,
"06/30/2024","Bronx","210",,,,,,,"3"
"06/30/2024","Bronx","209",,,"2",,,"2","7"
"06/30/2024","Bronx","208",,,,,,,"1"
"06/30/2024","Bronx","207",,,"5",,,"4","4"
"06/30/2024","Bronx","206",,,"2",,,"8","17"
"06/30/2024","Bronx","205",,"1","4",,,"1","8"
"06/30/2024","Bronx","204",,,"2",,,"2","13"
"06/30/2024","Bronx","203",,,"8","1",,,"7"
"06/30/2024","Bronx","202",,"1",,,,,"5"
"06/30/2024","Bronx","201",,,"4","2",,"1","8"
"05/31/2024","Manhattan","102",,,,,,"1",
"05/31/2024","Westchester",,,,,,,"1",
"05/31/2024","Staten Island","502",,,,,,"3",
"05/31/2024","Staten Island","501",,,"1","1",,"1","2"
"05/31/2024","Queens","414",,"1","1",,,"3","1"
"05/31/2024","Queens","413",,,"1","4",,"5","2"
"05/31/2024","Queens","412","1","2","3","2",,"23","8"
"05/31/2024","Queens","411",,,"1",,,"1",
"05/31/2024","Queens","410",,,"1","2",,"3",
"05/31/2024","Queens","409",,,"1",,,,
"05/31/2024","Queens","408",,,"1",,,"1","1"
"05/31/2024","Queens","407",,,"2",,,"1",
"05/31/2024","Queens","406",,,"1",,,,
"05/31/2024","Queens","405",,,"1",,,,"1"
"05/31/2024","Queens","404",,,,"1",,"1","1"
"05/31/2024","Queens","403",,"1",,"1",,"3","4"
"05/31/2024","Queens","402",,"1",,"3",,"4","1"
"05/31/2024","Queens","401",,,"1","2",,"18","3"
"05/31/2024","Manhattan","112",,,"3",,,,
"05/31/2024","Manhattan","111",,,"10",,,,"6"
"05/31/2024","Manhattan","110",,,"10",,,,"8"
"05/31/2024","Manhattan","109",,,"1",,,,"4"
"05/31/2024","Manhattan","108",,,"1",,,"1",
"05/31/2024","Manhattan","107",,"1","1",,,"4","2"
"05/31/2024","Manhattan","106",,,"2",,,"1","1"
"05/31/2024","Manhattan","105",,"1","1","1",,"8","2"
"05/31/2024","Manhattan","104",,,"2","2",,"5","2"
"05/31/2024","Manhattan","103",,,"6","2",,"1","2"
"05/31/2024","Manhattan","101",,,,,,"1",
"05/31/2024","Brooklyn","318",,"1",,,,"1","3"
"05/31/2024","Brooklyn","317",,,,,,"2","4"
"05/31/2024","Brooklyn","316",,,"4","5",,"6","14"
"05/31/2024","Brooklyn","315",,,,,,"1","3"
"05/31/2024","Brooklyn","314",,,"2",,,"1","1"
"05/31/2024","Brooklyn","313",,,,"1",,,"1"
"05/31/2024","Brooklyn","312",,,"1",,,,"1"
"05/31/2024","Brooklyn","309",,,"2",,,,"1"
"05/31/2024","Brooklyn","308",,,"2","1",,"1","5"
"05/31/2024","Brooklyn","307",,,"3","5",,"2","1"
"05/31/2024","Brooklyn","306",,"1","3","2",,"3","1"
"05/31/2024","Brooklyn","305",,,"7","3",,"7","6"
"05/31/2024","Brooklyn","304",,,"1","2",,,"4"
"05/31/2024","Brooklyn","303",,,"4","2",,"2","5"
"05/31/2024","Brooklyn","302",,"1","6",,,,"1"
"05/31/2024","Brooklyn","301",,"1","6",,,"4",
"05/31/2024","Bronx","212",,,"3",,,"4","3"
"05/31/2024","Bronx","211",,,,,,,
"05/31/2024","Bronx","210",,,,,,,"3"
"05/31/2024","Bronx","209",,,"2",,,"2","7"
"05/31/2024","Bronx","208",,,,,,,"1"
"05/31/2024","Bronx","207",,,"5",,,"4","4"
"05/31/2024","Bronx","206",,,"2",,,"8","17"
"05/31/2024","Bronx","205",,"1","4",,,,"10"
"05/31/2024","Bronx","204",,,"2",,,"2","13"
"05/31/2024","Bronx","203",,,"8","1",,,"7"
"05/31/2024","Bronx","202",,"1",,,,,"5"
"05/31/2024","Bronx","201",,,"4","2",,"1","8"
"04/30/2024","Bronx","203",,,"7","1",,,"7"
"04/30/2024","Westchester",,,,,,,"1",
"04/30/2024","Staten Island","502",,,,,,"3",
"04/30/2024","Staten Island","501",,,"1","1",,"1","2"
"04/30/2024","Queens","414",,"1","1",,,"3","1"
"04/30/2024","Queens","413",,,"1","4",,"5","2"
"04/30/2024","Queens","412","1","2","3","2",,"23","8"
"04/30/2024","Queens","411",,,"1",,,"1",
"04/30/2024","Queens","410",,,"1","2",,"3",
"04/30/2024","Queens","409",,,"1",,,,
"04/30/2024","Queens","408",,,"1",,,"1","1"
"04/30/2024","Queens","407",,,"2",,,"1",
"04/30/2024","Queens","405",,,"1",,,,"1"
"04/30/2024","Queens","404",,,,"1",,"1","1"
"04/30/2024","Queens","403",,"1",,"1",,"3","4"
"04/30/2024","Queens","402",,"1",,"2",,"4","1"
"04/30/2024","Queens","401",,,"1","2",,"18","3"
"04/30/2024","Manhattan","112",,,"3",,,,
"04/30/2024","Manhattan","111",,,"10",,,,"6"
"04/30/2024","Manhattan","110",,,"10",,,,"8"
"04/30/2024","Manhattan","109",,,"1",,,,"5"
"04/30/2024","Manhattan","108",,,"1",,,"1",
"04/30/2024","Manhattan","107",,"1","1",,,"4","2"
"04/30/2024","Manhattan","106",,,"2",,,"1","1"
"04/30/2024","Manhattan","105",,"1","1","1",,"8","2"
"04/30/2024","Manhattan","104",,,"2","2",,"5","2"
"04/30/2024","Manhattan","103",,,"6","2",,"1","2"
"04/30/2024","Bronx","202",,"1",,,,,"5"
"04/30/2024","Bronx","201",,,"4","2",,"1","8"
"04/30/2024","Manhattan","102",,,,,,"1",
"04/30/2024","Manhattan","101",,,,,,"1",
"04/30/2024","Brooklyn","318",,"1",,,,"1","3"
"04/30/2024","Brooklyn","317",,,,,,"2","4"
"04/30/2024","Brooklyn","316",,,"4","5",,"6","14"
"04/30/2024","Brooklyn","315",,,,,,"1","3"
"04/30/2024","Brooklyn","314",,,"2",,,"1","1"
"04/30/2024","Brooklyn","313",,,,"1",,,"1"
"04/30/2024","Brooklyn","312",,,"1",,,,"1"
"04/30/2024","Brooklyn","309",,,"2",,,,"1"
"04/30/2024","Brooklyn","308",,,"2","1",,"1","5"
"04/30/2024","Brooklyn","307",,,"3","5",,"2","1"
"04/30/2024","Brooklyn","306",,"1","3","2",,"3","1"
"04/30/2024","Brooklyn","305",,,"7","3",,"7","6"
"04/30/2024","Brooklyn","304",,,"1","2",,,"4"
"04/30/2024","Brooklyn","303",,,"4","1",,"2","5"
"04/30/2024","Brooklyn","302",,"1","6",,,,"1"
"04/30/2024","Brooklyn","301",,"1","6",,,"4",
"04/30/2024","Bronx","212",,,"3",,,"4","3"
"04/30/2024","Bronx","211",,,,,,,
"04/30/2024","Bronx","210",,,,,,,"3"
"04/30/2024","Bronx","209",,,"2",,,"2","7"
"04/30/2024","Bronx","208",,,,,,,"1"
"04/30/2024","Bronx","207",,,"4",,,"4","4"
"04/30/2024","Bronx","206",,,"2",,,"8","17"
"04/30/2024","Bronx","205",,"1","4",,,,"10"
"04/30/2024","Bronx","204",,,"2",,,"2","13"
"03/31/2024","Bronx","203",,,"7","1",,,"7"
"03/31/2024","Westchester",,,,,,,"1",
"03/31/2024","Staten Island","502",,,,,,"3",
"03/31/2024","Staten Island","501",,,"1","1",,"1","2"
"03/31/2024","Queens","414",,"1","1",,,"3","1"
"03/31/2024","Queens","413",,,"1","4",,"5","2"
"03/31/2024","Queens","412","1","2","3","1",,"22","8"
"03/31/2024","Queens","411",,,"1",,,"1",
"03/31/2024","Queens","410",,,"1","2",,"3",
"03/31/2024","Queens","409",,,"1",,,,
"03/31/2024","Queens","408",,,"1",,,"1","1"
"03/31/2024","Queens","407",,,"2",,,"1",
"03/31/2024","Queens","405",,,"1",,,,"1"
"03/31/2024","Queens","404",,,,"1",,"1","1"
"03/31/2024","Queens","403",,"1",,"1",,"3","4"
"03/31/2024","Queens","402",,"1",,"2",,"4","1"
"03/31/2024","Queens","401",,,"1","2",,"18","3"
"03/31/2024","Manhattan","112",,,"3",,,,
"03/31/2024","Manhattan","111",,,"10",,,,"6"
"03/31/2024","Manhattan","110",,,"10",,,,"8"
"03/31/2024","Manhattan","109",,,"1",,,,"5"
"03/31/2024","Manhattan","108",,,"1",,,"1",
"03/31/2024","Manhattan","107",,"1","1",,,"4","3"
"03/31/2024","Manhattan","106",,,"2",,,"1","1"
"03/31/2024","Manhattan","105",,"1","1","1",,"8","2"
"03/31/2024","Manhattan","104",,,"2","2",,"4","2"
"03/31/2024","Manhattan","103",,,"6","2",,"1","2"
"03/31/2024","Manhattan","102",,,,,,"1",
"03/31/2024","Manhattan","101",,,,,,"1",
"03/31/2024","Brooklyn","318",,"1",,,,"1","3"
"03/31/2024","Brooklyn","317",,,,,,"2","4"
"03/31/2024","Brooklyn","316",,,"4","5",,"6","14"
"03/31/2024","Brooklyn","315",,,,,,"1","3"
"03/31/2024","Brooklyn","314",,,"2",,,"1","1"
"03/31/2024","Brooklyn","313",,,,"1",,,"1"
"03/31/2024","Brooklyn","312",,,"1",,,,"1"
"03/31/2024","Brooklyn","309",,,"2",,,,"1"
"03/31/2024","Brooklyn","308",,,"2","1",,"1","5"
"03/31/2024","Brooklyn","307",,,"3","5",,"2","1"
"03/31/2024","Brooklyn","306",,"1","2","2",,"3","1"
"03/31/2024","Brooklyn","305",,,"8","3",,"7","6"
"03/31/2024","Brooklyn","304","1",,"1","2",,,"4"
"03/31/2024","Brooklyn","303","1",,"4","1",,"2","5"
"03/31/2024","Brooklyn","302",,"1","6",,,,"1"
"03/31/2024","Brooklyn","301",,"1","6",,,"4",
"03/31/2024","Bronx","212",,,"3",,,"4","3"
"03/31/2024","Bronx","211",,,,,,,
"03/31/2024","Bronx","210",,,,,,,"3"
"03/31/2024","Bronx","209",,,"2",,,"2","6"
"03/31/2024","Bronx","208",,,,,,,"1"
"03/31/2024","Bronx","207",,,"5",,,"4","4"
"03/31/2024","Bronx","206",,,"2",,,"8","17"
"03/31/2024","Bronx","205",,"1","4",,,,"10"
"03/31/2024","Bronx","204",,,"2",,,"2","13"
"03/31/2024","Bronx","202",,"1",,,,,"5"
"03/31/2024","Bronx","201",,,"4","2",,"1","8"
"02/29/2024","Manhattan","101",,,,,,"1",
"02/29/2024","Westchester",,,,,,,"1",
"02/29/2024","Staten Island","502",,,,,,"3",
"02/29/2024","Staten Island","501",,,"1","1",,"1","2"
"02/29/2024","Queens","414",,"1","1",,,"2","1"
"02/29/2024","Queens","413",,,"1","4",,"5","2"
"02/29/2024","Queens","412","1","2","3","1",,"22","8"
"02/29/2024","Queens","411",,,"1",,,"1",
"02/29/2024","Queens","410",,,"1","2",,"3",
"02/29/2024","Queens","409",,,"1",,,,
"02/29/2024","Queens","408",,,"1",,,"1","1"
"02/29/2024","Queens","407",,,"2",,,"1",
"02/29/2024","Queens","405",,,"1",,,,"1"
"02/29/2024","Queens","404",,,,"1",,"1","1"
"02/29/2024","Queens","403",,"1",,"1",,"3","4"
"02/29/2024","Queens","402",,"1",,"2",,"4","1"
"02/29/2024","Queens","401",,,"1","2",,"18","3"
"02/29/2024","Manhattan","112",,,"3",,,,
"02/29/2024","Manhattan","111",,,"10",,,,"6"
"02/29/2024","Manhattan","110",,,"10",,,,"9"
"02/29/2024","Manhattan","109",,,"1",,,,"5"
"02/29/2024","Manhattan","108",,,"1",,,"1",
"02/29/2024","Manhattan","107",,"1","1",,,"4","3"
"02/29/2024","Manhattan","106",,,"2",,,"1","1"
"02/29/2024","Manhattan","105",,"1","1","1",,"9","2"
"02/29/2024","Manhattan","104",,,"2","2",,"5","2"
"02/29/2024","Manhattan","103",,,"6","2",,"1","2"
"02/29/2024","Manhattan","102",,,,,,"1",
"02/29/2024","Brooklyn","318",,"1",,,,"1","3"
"02/29/2024","Brooklyn","317",,,,,,"2","4"
"02/29/2024","Brooklyn","316",,,"4","5",,"6","14"
"02/29/2024","Brooklyn","315",,,,,,"1","3"
"02/29/2024","Brooklyn","314",,,"2",,,"1","1"
"02/29/2024","Brooklyn","313",,,,"1",,,"1"
"02/29/2024","Brooklyn","312",,,"1",,,,"1"
"02/29/2024","Brooklyn","309",,,"2",,,,"1"
"02/29/2024","Brooklyn","308",,,"2","1",,"1","5"
"02/29/2024","Brooklyn","307",,,"3","5",,"2","1"
"02/29/2024","Brooklyn","306",,"1","2","2",,"3","1"
"02/29/2024","Brooklyn","305",,,"7","3",,"7","6"
"02/29/2024","Brooklyn","304","1",,"1","2",,,"4"
"02/29/2024","Brooklyn","303","1",,"4","1",,"2","5"
"02/29/2024","Brooklyn","302",,"1","6",,,,"1"
"02/29/2024","Brooklyn","301",,"1","6",,,"4",
"02/29/2024","Bronx","212",,,"3",,,"4","3"
"02/29/2024","Bronx","211",,,,,,,
"02/29/2024","Bronx","210",,,,,,,"3"
"02/29/2024","Bronx","209",,,"2",,,"2","6"
"02/29/2024","Bronx","208",,,,,,,"1"
"02/29/2024","Bronx","207",,,"5",,,"4","4"
"02/29/2024","Bronx","206",,,"2",,,"8","17"
"02/29/2024","Bronx","205",,"1","4",,,,"10"
"02/29/2024","Bronx","204",,,"2",,,"2","13"
"02/29/2024","Bronx","203",,,"7","1",,,"7"
"02/29/2024","Bronx","202",,"1",,,,,"5"
"02/29/2024","Bronx","201",,,"4","2",,"1","8"
"01/31/2024","Bronx","202",,"1",,,,,"5"
"01/31/2024","Westchester",,,,,,,"1",
"01/31/2024","Staten Island","502",,,,,,"3",
"01/31/2024","Staten Island","501",,,"1","1",,"1","2"
"01/31/2024","Queens","414",,"1","1",,,"2","1"
"01/31/2024","Queens","413",,,"1","4",,"5","2"
"01/31/2024","Queens","412","1","2","3","1",,"22","8"
"01/31/2024","Queens","411",,,"1",,,"1",
"01/31/2024","Queens","410",,,"1","2",,"3",
"01/31/2024","Queens","409",,,"1",,,,
"01/31/2024","Queens","408",,,"1",,,"1","1"
"01/31/2024","Queens","407",,,"2",,,"1",
"01/31/2024","Queens","405",,,"1",,,,"1"
"01/31/2024","Queens","404",,,,"1",,"1","1"
"01/31/2024","Queens","403",,"1",,"1",,"3","4"
"01/31/2024","Queens","402",,"1",,"2",,"4","1"
"01/31/2024","Queens","401",,,"1","2",,"18","3"
"01/31/2024","Manhattan","112",,,"3",,,,
"01/31/2024","Manhattan","111",,,"10",,,,"6"
"01/31/2024","Manhattan","110",,,"10",,,,"8"
"01/31/2024","Manhattan","109",,,"1",,,,"5"
"01/31/2024","Manhattan","108",,,"1",,,"1",
"01/31/2024","Manhattan","107",,"1","1",,,"4","3"
"01/31/2024","Manhattan","106",,,"1",,,"1","1"
"01/31/2024","Manhattan","105",,"1","1","1",,"8","2"
"01/31/2024","Manhattan","104",,,"2","2",,"5","2"
"01/31/2024","Manhattan","103",,,"6","2",,"1","3"
"01/31/2024","Manhattan","102",,,,,,"1",
"01/31/2024","Bronx","201",,,"4","2",,"1","8"
"01/31/2024","Manhattan","101",,,,,,"1",
"01/31/2024","Brooklyn","318",,"1",,,,"1","3"
"01/31/2024","Brooklyn","317",,,,,,"2","4"
"01/31/2024","Brooklyn","316",,,"4","5",,"6","14"
"01/31/2024","Brooklyn","315",,,,,,"1","3"
"01/31/2024","Brooklyn","314",,,"2",,,"1","1"
"01/31/2024","Brooklyn","313",,,,"1",,,"1"
"01/31/2024","Brooklyn","312",,,"1",,,,"1"
"01/31/2024","Brooklyn","309",,,"2",,,,"1"
"01/31/2024","Brooklyn","308",,,"2","1",,"1","5"
"01/31/2024","Brooklyn","307",,,"3","5",,"2","1"
"01/31/2024","Brooklyn","306",,"1","2","2",,"3","1"
"01/31/2024","Brooklyn","305",,,"7","3",,"7","6"
"01/31/2024","Brooklyn","304","1",,"1","2",,,"4"
"01/31/2024","Brooklyn","303","1",,"5","1",,"2","5"
"01/31/2024","Brooklyn","302",,"1","6",,,,"1"
"01/31/2024","Brooklyn","301",,"1","6",,,"4",
"01/31/2024","Bronx","212",,,"3",,,"4","3"
"01/31/2024","Bronx","211",,,,,,,
"01/31/2024","Bronx","210",,,,,,,"3"
"01/31/2024","Bronx","209",,,"2",,,"2","6"
"01/31/2024","Bronx","208",,,,,,,"1"
"01/31/2024","Bronx","207",,,"5",,,"4","4"
"01/31/2024","Bronx","206",,,"2",,,"8","17"
"01/31/2024","Bronx","205",,"1","4",,,,"10"
"01/31/2024","Bronx","204",,,"2",,,"2","13"
"01/31/2024","Bronx","203",,,"7","1",,,"7"
"12/31/2023","Manhattan","101",,,,,,"1",
"12/31/2023","Westchester",,,,,,,"1",
"12/31/2023","Staten Island","502",,,,,,"3",
"12/31/2023","Staten Island","501",,,,"1",,"1","2"
"12/31/2023","Queens","414",,"1","1","1",,"2","1"
"12/31/2023","Queens","413",,,"1","4",,"5","2"
"12/31/2023","Queens","412","1","2","3","1",,"22","8"
"12/31/2023","Queens","411",,,"1",,,"1",
"12/31/2023","Queens","410",,,"1","2",,"3",
"12/31/2023","Queens","409",,,"1",,,,
"12/31/2023","Queens","408",,,"1",,,"1","1"
"12/31/2023","Queens","407",,,"2",,,"1",
"12/31/2023","Queens","405",,,"1",,,,"1"
"12/31/2023","Queens","404",,,,"1",,"1","1"
"12/31/2023","Queens","403",,"1",,"1",,"3","4"
"12/31/2023","Queens","402",,"1",,"2",,"4","1"
"12/31/2023","Queens","401",,,"1","2",,"17","4"
"12/31/2023","Manhattan","112",,,"3",,,"1",
"12/31/2023","Manhattan","111",,,"10",,,,"6"
"12/31/2023","Manhattan","110",,,"9",,,,"8"
"12/31/2023","Manhattan","109",,,"1",,,,"5"
"12/31/2023","Manhattan","108",,,"1",,,"1",
"12/31/2023","Manhattan","107",,"1","1",,,"3","4"
"12/31/2023","Manhattan","106",,,"2",,,"1","1"
"12/31/2023","Manhattan","105",,"1","1","1",,"8","2"
"12/31/2023","Manhattan","104",,,"2","2",,"5","2"
"12/31/2023","Manhattan","103",,,"6","2",,,"4"
"12/31/2023","Manhattan","102",,,,,,"1",
"12/31/2023","Brooklyn","318",,"1",,,,"1","3"
"12/31/2023","Brooklyn","317",,,,,,"2","4"
"12/31/2023","Brooklyn","316",,,"4","5",,"6","14"
"12/31/2023","Brooklyn","315",,,,,,"1","3"
"12/31/2023","Brooklyn","314",,,"2",,,"1","1"
"12/31/2023","Brooklyn","313",,,,"1",,,"1"
"12/31/2023","Brooklyn","312",,,"1",,,,"1"
"12/31/2023","Brooklyn","309",,,"2",,,,"1"
"12/31/2023","Brooklyn","308",,,"2","1",,,"6"
"12/31/2023","Brooklyn","307",,,"3","5",,"2","1"
"12/31/2023","Brooklyn","306",,"1","2","2",,"3","1"
"12/31/2023","Brooklyn","305",,,"7","4",,"5","6"
"12/31/2023","Brooklyn","304","1",,"1","2",,,"4"
"12/31/2023","Brooklyn","303","1",,"5","1",,"2","5"
"12/31/2023","Brooklyn","302",,"1","6",,,,"1"
"12/31/2023","Brooklyn","301",,"1","6",,,"4",
"12/31/2023","Bronx","212",,,"3",,,"3","4"
"12/31/2023","Bronx","211",,,,,,,
"12/31/2023","Bronx","210",,,,,,,"3"
"12/31/2023","Bronx","209",,,"2",,,"2","6"
"12/31/2023","Bronx","208",,,,,,"1","1"
"12/31/2023","Bronx","207",,,"5",,,"4","4"
"12/31/2023","Bronx","206",,,"2",,,"8","17"
"12/31/2023","Bronx","205",,"1","4",,,,"10"
"12/31/2023","Bronx","204",,,"2",,,"2","13"
"12/31/2023","Bronx","203",,,"7","1",,,"7"
"12/31/2023","Bronx","202",,"1",,,,,"5"
